sid,season,name,detector,distance_threshold_km,lat_gate_degN,window_steps,zonal_threshold_km_6h,zonal_pre_max_km_6h,recurv_i,recurv_original_time_index,recurv_time,recurv_lat,recurv_lon,box_hit,min_dist_km,closest_proxy_idx,closest_proxy,nl_relevant
1975261N18327,1975,FAYE,zonal,600.0,25.0,4,30.0,30.0,75,75,1975-09-27 15:00:00.000040448,36.802127838134766,-65.48609924316406,False,587.5425093998431,0,St. John's (Avalon Peninsula),True
1975266N10325,1975,GLADYS,zonal,600.0,25.0,4,30.0,30.0,74,74,1975-10-02 00:00:00.000040448,31.0,-73.0,True,192.1399757561024,0,St. John's (Avalon Peninsula),True
1976232N32292,1976,CANDICE,zonal,600.0,25.0,4,30.0,30.0,13,13,1976-08-20 03:00:00.000040448,39.25688171386719,-63.57438278198242,True,338.2755681294523,0,St. John's (Avalon Peninsula),True
1978242N26300,1978,ELLA,zonal,600.0,25.0,4,30.0,30.0,34,34,1978-09-03 06:00:00.000040448,33.0,-72.4000015258789,True,157.21198427363652,0,St. John's (Avalon Peninsula),True
1979213N17306,1979,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,32,32,1979-08-04 12:00:00.000040448,36.599998474121094,-68.4000015258789,True,51.78709621965466,0,St. John's (Avalon Peninsula),True
1979238N12324,1979,DAVID,zonal,600.0,25.0,4,30.0,30.0,91,91,1979-09-05 21:00:00.000040448,36.87721633911133,-79.83609771728516,True,87.32469199459656,4,Labrador coast proxy,True
1980245N16322,1980,GEORGES,zonal,600.0,25.0,4,30.0,30.0,45,45,1980-09-06 15:00:00.000040448,32.26954650878906,-69.40839385986328,True,250.2662368874945,0,St. John's (Avalon Peninsula),True
1981244N30287,1981,EMILY,zonal,600.0,25.0,4,30.0,30.0,25,25,1981-09-03 15:00:00.000040448,34.4946174621582,-65.56205749511719,False,518.428502142659,0,St. John's (Avalon Peninsula),True
1982257N20291,1982,DEBBY,zonal,600.0,25.0,4,30.0,30.0,11,11,1982-09-14 21:00:00.000040448,25.10024070739746,-71.4452896118164,True,162.30836806438322,0,St. John's (Avalon Peninsula),True
1984253N29283,1984,DIANA,zonal,600.0,25.0,4,30.0,30.0,46,46,1984-09-14 03:00:00.000040448,34.79985046386719,-78.31755065917969,True,328.2185124024193,1,Corner Brook region (west coast),True
1984281N24291,1984,JOSEPHINE,zonal,600.0,25.0,4,30.0,30.0,59,59,1984-10-14 15:00:00.000040448,36.46477508544922,-71.15272521972656,True,416.9566695685071,0,St. John's (Avalon Peninsula),True
1985197N29296,1985,ANA,zonal,600.0,25.0,4,30.0,30.0,17,17,1985-07-17 21:00:00.000040448,36.3474006652832,-67.11685180664062,True,128.87420029003664,2,Bonavista region (east-central coast),True
1985260N13336,1985,GLORIA,zonal,600.0,25.0,4,30.0,30.0,86,86,1985-09-27 05:30:00.000026624,35.20000076293945,-75.5999984741211,True,48.11589799135589,4,Labrador coast proxy,True
1988235N15317,1988,CHRIS,zonal,600.0,25.0,4,30.0,30.0,61,61,1988-08-29 03:00:00.000040448,34.91972732543945,-80.93171691894531,True,312.58882963931796,1,Corner Brook region (west coast),True
1989212N15318,1989,DEAN,zonal,600.0,25.0,4,30.0,30.0,59,59,1989-08-07 15:00:00.000040448,38.41946029663086,-63.75662612915039,True,12.929857427207638,2,Bonavista region (east-central coast),True
1989243N12339,1989,GABRIELLE,zonal,600.0,25.0,4,30.0,30.0,99,99,1989-09-11 18:00:00.000040448,39.900001525878906,-61.29999923706055,False,428.5147764728373,0,St. John's (Avalon Peninsula),True
1989254N13340,1989,HUGO,zonal,600.0,25.0,4,30.0,30.0,100,100,1989-09-22 15:00:00.000040448,37.101158142089844,-81.97063446044922,True,278.40797701843627,4,Labrador coast proxy,True
1990206N34285,1990,BERTHA,zonal,600.0,25.0,4,30.0,30.0,36,36,1990-07-29 00:00:00.000040448,30.200002670288086,-73.5999984741211,True,162.46473485747353,1,Corner Brook region (west coast),True
1990236N13314,1990,GUSTAV,zonal,600.0,25.0,4,30.0,30.0,58,58,1990-08-31 12:00:00.000040448,31.700002670288086,-57.20000076293945,False,503.5060274406555,0,St. John's (Avalon Peninsula),True
1990279N36316,1990,LILI,zonal,600.0,25.0,4,30.0,30.0,60,60,1990-10-13 18:00:00.000040448,35.5,-72.0,True,93.5027189270351,0,St. John's (Avalon Peninsula),True
1991228N26286,1991,BOB,zonal,600.0,25.0,4,30.0,30.0,21,21,1991-08-18 15:00:00.000040448,32.204898834228516,-76.38697052001953,True,97.85317756306982,1,Corner Brook region (west coast),True
1991302N44301,1991,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,23,23,1991-10-31 15:00:00.000040448,37.15412139892578,-71.6507339477539,False,456.2177014523786,1,Corner Brook region (west coast),True
1992297N26299,1992,FRANCES,zonal,600.0,25.0,4,30.0,30.0,12,12,1992-10-24 00:00:00.000040448,29.0,-60.599998474121094,False,440.6938701988583,0,St. John's (Avalon Peninsula),True
