dataset_index,sid,season,name,recurv_time,box_hit,minimum_proxy_distance_km,recurv_index,recurv_lat,recurv_lon,legacy_pre_zonal_km_per_increment,legacy_post_zonal_km_per_increment
7853,1971223N27280,1971,BETH,1971-08-12 21:00:00,True,30.293467745923277,19,32.97266387939453,-75.67300415039062,16.47154497658704,30.272383378268366
8010,1972243N29282,1972,CARRIE,1972-09-03 18:00:00,False,433.84102991805315,42,40.599998474121094,-70.19999694824219,14.1129322096794,31.581477535226522
8124,1973183N26292,1973,ALICE,1973-07-05 15:00:00,True,70.18688144798094,31,37.53217697143555,-64.1427001953125,13.488689539816342,30.304493477169494
8182,1973289N16278,1973,GILDA,1973-10-23 15:00:00,True,91.08963325806596,59,25.62738037109375,-75.55985260009766,0.0,30.041213848132358
8405,1975178N28281,1975,AMY,1975-06-28 09:00:00,True,299.5979528123935,11,32.86494064331055,-78.4177017211914,7.118903588899353,39.46994885758443
8415,1975205N26292,1975,BLANCHE,1975-07-26 03:00:00,False,383.53886267431443,17,31.5921630859375,-74.88939666748047,-16.944113067482693,35.14530964996627
8454,1975261N18327,1975,FAYE,1975-09-27 15:00:00,False,587.5425093998431,75,36.802127838134766,-65.48609924316406,-34.55571249155788,44.05120370742442
8455,1975266N10325,1975,GLADYS,1975-10-02 00:00:00,True,192.1399757561024,74,31.0,-73.0,-25.025444866312366,47.23549845922791
8600,1976232N32292,1976,CANDICE,1976-08-20 03:00:00,True,338.2755681294523,13,39.25688171386719,-63.57438278198242,28.450425857145994,36.29565916020377
8853,1978242N26300,1978,ELLA,1978-09-03 06:00:00,True,157.21198427363652,34,33.0,-72.4000015258789,12.782273997603598,36.9804078904546
8973,1979213N17306,1979,NOT_NAMED,1979-08-04 12:00:00,True,51.78709621965466,32,36.599998474121094,-68.4000015258789,0.36585780182721883,32.27023685195549
8985,1979238N12324,1979,DAVID,1979-09-05 21:00:00,True,87.32469199459656,91,36.87721633911133,-79.83609771728516,18.19856251761321,35.100361517606444
9099,1980245N16322,1980,GEORGES,1980-09-06 15:00:00,True,250.2662368874945,45,32.26954650878906,-69.40839385986328,9.503883304079347,39.490834604415554
9216,1981244N30287,1981,EMILY,1981-09-03 15:00:00,False,518.428502142659,25,34.4946174621582,-65.56205749511719,-40.67106011753547,50.46797758358028
9339,1982257N20291,1982,DEBBY,1982-09-14 21:00:00,True,162.30836806438322,11,25.10024070739746,-71.4452896118164,-0.0358433656982573,37.602696348421986
9546,1984253N29283,1984,DIANA,1984-09-14 03:00:00,True,328.2185124024193,46,34.79985046386719,-78.31755065917969,-4.604701049478262,31.86352045731974
9561,1984281N24291,1984,JOSEPHINE,1984-10-14 15:00:00,True,416.9566695685071,59,36.46477508544922,-71.15272521972656,11.140577807919165,35.88822698411414
9647,1985197N29296,1985,ANA,1985-07-17 21:00:00,True,128.87420029003664,17,36.3474006652832,-67.11685180664062,-2.3184948061373136,30.82979169673326
9683,1985260N13336,1985,GLORIA,1985-09-27 05:30:00,True,48.11589799135589,86,35.20000076293945,-75.5999984741211,-0.06865445673817394,31.26513458828921
