dataset_index,source_points,resampled_points,source_min_dt_h,source_median_dt_h,source_max_dt_h,eligible
5994,75,38,3.0,3.0,3.0,True
5997,23,12,3.0,3.0,3.0,False
5998,21,11,3.0,3.0,3.0,True
6004,102,51,1.0,3.0,3.0,True
6008,23,12,3.0,3.0,3.0,False
6010,37,19,3.0,3.0,3.0,True
6016,59,30,3.0,3.0,3.0,True
6024,21,11,3.0,3.0,3.0,True
6063,62,31,0.5,3.0,3.0,True
6065,38,19,1.5,3.0,3.0,True
6072,27,14,3.0,3.0,3.0,True
6082,189,95,3.0,3.0,3.0,True
6085,18,9,1.0,3.0,3.0,True
6089,29,15,3.0,3.0,3.0,True
6094,57,29,3.0,3.0,3.0,True
6107,39,20,3.0,3.0,3.0,True
6155,35,18,3.0,3.0,3.0,True
6163,18,9,1.0,3.0,3.0,False
6183,73,37,3.0,3.0,3.0,True
6184,93,47,3.0,3.0,3.0,True
6188,59,30,3.0,3.0,3.0,True
6193,66,32,1.0,3.0,3.0,True
6195,59,30,3.0,3.0,3.0,True
6202,64,32,1.0,3.0,3.0,True
6208,105,53,3.0,3.0,3.0,True
6209,50,25,1.0,3.0,3.0,True
6212,71,35,1.0,3.0,3.0,True
6216,25,13,3.0,3.0,3.0,True
6270,46,23,1.0,3.0,3.0,True
6272,29,15,3.0,3.0,3.0,False
6273,38,19,1.0,3.0,3.0,True
6281,68,34,1.0,3.0,3.0,True
6287,42,21,1.0,3.0,3.0,True
6292,39,20,3.0,3.0,3.0,True
6298,10,5,1.0,3.0,3.0,False
6305,59,30,3.0,3.0,3.0,True
6312,31,16,3.0,3.0,3.0,True
6313,41,21,3.0,3.0,3.0,True
6318,98,49,1.0,3.0,3.0,True
6323,91,46,3.0,3.0,3.0,True
6327,24,12,1.0,3.0,3.0,True
6331,66,33,1.0,3.0,3.0,True
6379,52,26,1.0,3.0,3.0,True
6383,66,33,1.0,3.0,3.0,False
6389,89,45,3.0,3.0,3.0,True
6406,27,14,3.0,3.0,3.0,True
6410,135,64,1.0,3.0,3.0,True
6413,17,9,3.0,3.0,3.0,True
6417,41,21,3.0,3.0,3.0,True
6420,77,39,3.0,3.0,3.0,True
6510,61,30,1.0,3.0,3.0,False
6530,115,58,3.0,3.0,3.0,True
6531,118,59,1.0,3.0,3.0,True
6535,108,54,1.0,3.0,3.0,True
6538,137,68,1.0,3.0,3.0,True
6540,26,13,1.0,3.0,3.0,True
6546,83,41,1.0,3.0,3.0,True
6554,45,23,3.0,3.0,3.0,True
6559,51,26,3.0,3.0,3.0,False
